id,naslov,regija,velikost,zemljisce,tip,leto,obnova,opis,agencija,cena
6407162,PODBRDO,1,70.18,0,2.0,1920,1968,"70,18 m2, 2-sobno, zgrajeno l. 1920, adaptirano l. 1968, Podbrdo - Prostorno stanovanje s šarmom, prodamo. Cena: 27.000,...",Pikado d.o.o.,27000.0
6427034,PODBRDO,1,113.0,0,3.5,1920,2018,"113 m2, 3,5-sobno, zgrajeno l. 1920, adaptirano l. 2018, 3. nad., Prostorno stanovanje v nadstropju. Svetla dnevna soba,...","RE/MAX Ljubljana, Nepremičninska družba d.o.o.",65000.0
6403242,RENČE,1,120.2,0,3.5,2001,,"120,2 m2, 3,5-sobno, zgrajeno l. 2001, prodamo. Cena: 150.000,00 EUR","Stoja trade, d.o.o., Ljubljana",150000.0
6353579,"ROŽNA DOLINA, VILA",1,79.5,0,3.0,2021,,"79,5 m2, 3-sobno, zgrajeno l. 2021, 1/3 nad., Na mirni in zeleni lokaciji v Rožni Dolini prodamo moderna stanovanja ki b...",Vilmar nepremičnine d.o.o.,183000.0
6062165,SOLKAN,1,65.1,0,3.0,1930,,"65,1 m2, 3-sobno, zgrajeno l. 1930, stanovanje v I. nadstropju, več stanovanjske stavbe, tri sobe, kuhinja, kopalnica/Wc...","Forma nepremičnine, Klavdio Štrukelj s.p.",62000.0
6399382,ŠEMPETER PRI GORICI,1,50.81,0,2.0,1953,1995,"50,81 m2, 2-sobno, zgrajeno l. 1953, adaptirano l. 1995, 2/2 nad., ŠEMPETER PRI GORICI 50,81 m2, 2-sobno, zgrajeno l. 19...",Zasebna ponudba,110000.0
6439419,"ŠEMPETER PRI GORICI, BLIZINA SOLE",1,166.3,28.0,5,1967,,"166,3 m2, 5 in večsobno, zgrajeno l. 1967, 28 m2 zemljišča, VP/1 nad., 5sobno stanovanje skupna velikost 166,30 m2 od te...",Vilmar nepremičnine d.o.o.,155000.0
6437281,TOLMIN,1,47.7,191.0,2.0,1940,2015,"47,7 m2, 2-sobno, zgrajeno l. 1940, adaptirano l. 2015, 191 m2 zemljišča, VP/2 nad., prodamo. Cena: 71.550,00 EUR",Market center Omnis d.o.o.,71550.0
6365751,ZATOLMIN,1,208.0,0,5,1960,,"208 m2, 5 in večsobno, zgrajeno l. 1960, prodamo. Cena: 75.000,00 EUR",Svet Real d.o.o.,75000.0
6427466,KRANJ,2,96.4,0,3.0,2021,2021,"96,4 m2, 3-sobno, adaptirano l. 2021, V edinstveni vogalni stavbi v strogem centru Kranja prodamo unikatno nadstandarno ...",AC Asfalti d.o.o.,283655.0
6427458,KRANJ,2,126.0,0,4.0,2021,2021,"126 m2, 4-sobno, adaptirano l. 2021, 3/3 nad., TAKOJ VSELJIVO. V celostno obnovljeni staromeščanski stavbi na izjemni lo...",AC Asfalti d.o.o.,342640.0
6440452,"KRANJ, PLANINA III",2,88.2,0,3.5,1987,2015,"88,2 m2, 3,5-sobno, zgrajeno l. 1987, adaptirano l. 2015, P/3 nad., prodamo. Cena: 249.000,00 EUR",Rojal invest d.o.o.,249000.0
6437381,KRANJSKA GORA,2,55.1,400.0,2.0,1890,2018,"55,1 m2, 2-sobno, zgrajeno l. 1890, adaptirano l. 2018, 400 m2 zemljišča, P/1 nad., Prodamo popolnoma prenovljeno dvosob...","Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine",450000.0
6436152,RADOVLJICA,2,55.4,0,2.0,2021,,"55,4 m2, 2-sobno, oskrbovano stanovanje za starejše, zgrajeno l. 2021, 1/2 nad., prodamo. Cena: 188.560,00 EUR",Karo d.o.o.,188560.0
6089942,BAŠELJ,2,118.0,0,3.0,2015,,"118 m2, 3-sobno, dupleks, zgrajeno l. 2015, 2/2 nad., prodamo. Cena: 179.400,00 EUR","ALTERA, d.o.o.",179400.0
6315155,BEGUNJE NA GORENJSKEM,2,76.1,0,3.0,1900,1970,"76,1 m2, 3-sobno, zgrajeno l. 1900, adaptirano l. 1970, 1/2 nad., prodamo. Cena: 68.000,00 EUR",Makler Bled d.o.o.,68000.0
6415325,BEGUNJE NA GORENJSKEM,2,76.1,0,3.0,1900,,"76,1 m2, 3-sobno, zgrajeno l. 1900, 1/1 nad., prodamo. Cena: 68.000,00 EUR",Nepremičnina posredovanje d.o.o.,68000.0
6399275,BEGUNJE NA GORENJSKEM,2,76.1,0,3.0,1900,1990,"76,1 m2, 3-sobno, zgrajeno l. 1900, adaptirano l. 1990, 1/1 nad., Prodamo trisobno stanovanje v idilični vasici Begunje ...","Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine",68000.0
6434682,"BEGUNJE NA GORENJSKEM, POLJČE 26",2,78.0,0,2.5,2007,2007,"78 m2, 2,5-sobno, adaptirano l. 2007, 1/2 nad., energijska kartica izdana pred novo fasado l. 2017, mirna lokacija, odli...",Zasebna ponudba,156000.0
6348955,BLED,2,25.0,0,0,1975,,"25 m2, garsonjera, zgrajena l. 1975, adaptirana l. 2018, Udobna in obnovljena garsonjera v Alpskih blokih, prodamo. Cena...",Novi list d.o.o.,130000.0
6441058,BLED,2,36.0,0,0,1975,,"36 m2, garsonjera, &quot;penthouse&quot;, zgrajena l. 1975, adaptirana l. 2021, 4/5 nad., prodamo. Cena: cca 130.000,00 ...",Zasebna ponudba,130000.0
6435277,BLED,2,46.0,0,1.5,1982,2012,"46 m2, 1,5-sobno, zgrajeno l. 1982, adaptirano l. 2012, M/4 nad., Bled, kvalitetno izdelano in opremljeno stanovanje, z ...",Makler Bled d.o.o.,169000.0
6437543,BLED,2,50.61,0,2.0,1974,2018,"50,61 m2, 2-sobno, zgrajeno l. 1974, adaptirano l. 2018, 2/5 nad., Bled, dvosobno popolnoma prenovljeno stanovanje, prod...",Zasebna ponudba,220000.0
6439656,BLED,2,55.0,0,2.0,1980,,"55 m2, 2-sobno, zgrajeno l. 1980, 4/4 nad., BLED, 55 m2, 2-sobno, zgrajeno l. 1980, 4/4/nad. Je v mirnem delu Bleda, ki ...",Zasebna ponudba,199500.0
6422124,BLED,2,60.9,0,2.0,2018,,"60,9 m2, 2-sobno, oskrbovano stanovanje za starejše, zgrajeno l. 2018, 1. nad., prodamo. Cena: 250.000,00 EUR",Koncepti d.o.o.,250000.0
6385434,BLED,2,82.0,0,3.0,1974,,"82 m2, 3-sobno, zgrajeno l. 1974, prodamo. Cena: 290.000,00 EUR",ABC nepremičnine d.o.o.,290000.0
6426666,BLED,2,114.7,0,3.0,2006,,"114,7 m2, 3-sobno, zgrajeno l. 2006, 2/2 nad., Na dobri, mirni in zelo urejeni lokaciji na Bledu, le 6 minut peš do jeze...",Senon d.o.o.,357000.0
6283668,BLED,2,155.5,0,4.0,1935,2007,"155,5 m2, 4-sobno, zgrajeno l. 1935, adaptirano l. 2007, 1/3 nad., Bled, Mlino, večje stanovanje ob jezeru, s krasnimi p...",Makler Bled d.o.o.,390000.0
6435243,BLED,2,168.0,0,4.0,2001,,"168 m2, 4-sobno, zgrajeno l. 2001, 2/2 nad., Bled, prostorno štirisobno stanovanje v ožjem jedru, na posebni legi in z r...",Makler Bled d.o.o.,425000.0
6441220,BLED,2,360.0,900.0,,1980,,"360 m2, apartma, zgrajen l. 1980, adaptiran l. 2021, 900 m2 zemljišča, prodamo. Cena: 689.000,00 EUR",Market center Omnis d.o.o.,689000.0
6441455,BLED,2,1073.0,63.0,4.0,1955,1991,"1.073 m2, 4-sobno, zgrajeno l. 1955, adaptirano l. 1991, 63 m2 zemljišča, mansarda, prodamo. Cena: 270.000,00 EUR",Koncepti d.o.o.,270000.0
6380333,"BLED, ALPSKA CESTA",2,82.0,0,3.0,1974,2010,"82 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2010, prodamo. Cena: 280.000,00 EUR",ZWELO online nepremičninske storitve d.o.o.,280000.0
6403857,"BLED, CENTER",2,130.0,0,4.0,2000,,"130 m2, 4-sobno, zgrajeno l. 2000, 1/2 nad., V centru Bleda, alpskega bisera s svetovno znanim otočkom sredi jezera in g...","QUDOS, center nepremičnin d.o.o.",350000.0
6385480,"BLED, V NASELJU",2,82.0,0,3.0,1974,2006,"82 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2006, P/4 nad., vzdrževano, pritlično, vzhodna lega, balkon, prodamo. Ce...","RE/MAX Ljubljana, Nepremičninska družba d.o.o.",280000.0
6434237,BOHINJSKA BISTRICA,2,100.0,0,3.0,2007,,"100 m2, 3-sobno, zgrajeno l. 2007, 1/4 nad., prodamo. Cena: 215.000,00 EUR",Trg Bled d.o.o.,215000.0
6438151,JESENICE,2,54.6,0,2.0,1958,,"54,6 m2, 2-sobno, zgrajeno l. 1958, 3/4 nad., dvosobno stanovanje v 4. etaži (3. nad), v izmeri 54,60 m2, v stanovanjski...",Zasebna ponudba,89000.0
6441020,JESENICE,2,55.0,0,2.0,1976,,"55 m2, 2-sobno, zgrajeno l. 1976, 9/12 nad., Prodamo 2-sobno stanovanje na Cesti revolucije. V bližini trgovine, zdravst...",Zasebna ponudba,107000.0
6438616,JESENICE,2,55.6,0,2.5,1963,,"55,6 m2, 2,5-sobno, zgrajeno l. 1963, 5/5 nad., prodamo. Cena: 113.000,00 EUR",Zasebna ponudba,113000.0
6429793,JESENICE,2,60.0,9.0,2.0,1890,2011,"60 m2, 2-sobno, zgrajeno l. 1890, adaptirano l. 2011, 9 m2 zemljišča, 1/3 nad., prodamo. Cena: 94.500,00 EUR",Exedra nepremičnine - Dragan Dušanić s.p.,94500.0
6391319,JESENICE,2,62.6,0,3.0,1949,2010,"62,6 m2, 3-sobno, zgrajeno l. 1949, adaptirano l. 2010, Popolnoma prenovljeno, svetlo in  sončno trisobno stanovanje v i...",Nepremičnine Smuk – NSKG d.o.o.,110000.0
6422877,JESENICE,2,78.4,0,3.0,1982,2011,"78,4 m2, 3-sobno, zgrajeno l. 1982, adaptirano l. 2011, 4/13 nad., Izredno prostorno trosobno stanovanje v centru Jeseni...",Makler Bled d.o.o.,127000.0
6023112,JESENICE,2,94.68,0,3.0,1960,2005,"94,68 m2, 3-sobno, zgrajeno l. 1960, adaptirano l. 2005, 3. nad., prodamo. Cena: 110.000,00 EUR","INF - ING nepremičnine, storitve, d.o.o.",110000.0
6416602,JESENICE,2,124.5,360.0,,2000,2000,"124,5 m2, stanovanje, adaptirano l. 2000, 360 m2 zemljišča, P/2 nad., prodam stanovanje v spodnji etaži stanovanjske hiš...",Zasebna ponudba,120000.0
6428439,"JESENICE, C. 1 MAJA",2,83.15,23.46,3.0,1929,2006,"83,15 m2, 3-sobno, zgrajeno l. 1929, adaptirano l. 2006, 23,46 m2 zemljišča, P/1 nad., prodamo. Cena: 105.000,00 EUR",Exedra nepremičnine - Dragan Dušanić s.p.,105000.0
6235031,"JESENICE, CENTER",2,98.5,0,3.0,1960,2005,"98,5 m2, 3-sobno, zgrajeno l. 1960, adaptirano l. 2005, 3/3 nad., virtualni ogled na naši spletni strani, prodamo. Cena:...",K3 Kern d.o.o.,109000.0
6434939,"JESENICE, CESTA CIRILA TAVČARJA",2,96.6,0,3.0,1958,2010,"96,6 m2, 3-sobno, zgrajeno l. 1958, adaptirano l. 2010, 3/3 nad., Prodamo večje trisobno stanovanje v nizkem bloku na Ce...","Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine",129000.0
6404568,"JESENICE, CESTA MARŠALA TITA",2,67.0,0,3.0,1959,2010,"67 m2, 3-sobno, zgrajeno l. 1959, adaptirano l. 2010, 9/10 nad., Prodamo trisobno stanovanje na Cesti marala Tita na Jes...","Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine",105000.0
6402800,"JESENICE, CESTA TALCEV",2,64.0,0,3.0,1982,,"64 m2, 3-sobno, zgrajeno l. 1982, 5/5 nad., ugodno, lepa in sončna lokacija, parkirišča pred blokom, vpisano v Zk, brez ...",Nepremičnina posredovanje d.o.o.,95000.0
6390239,"JESENICE, MENCINGERJEVA ULICA",2,65.0,0,3.0,1939,2010,"65 m2, 3-sobno, zgrajeno l. 1939, adaptirano l. 2010, Prodamo trisobno stanovanje v večstanovanjski hiši na Mencingerjev...","Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine",100000.0
6416378,"JESENICE, MUROVA",2,66.17,0,2.0,1900,2005,"66,17 m2, 2-sobno, zgrajeno l. 1900, adaptirano l. 2005, 3/3 nad., Prodamo dvosobno stanovanje v večstanovanjski hiši na...","Bonita N-11 d.o.o., Dom projekt Šuvak nepremičnine",69000.0
6160318,"JESENICE, TITOVA",2,98.5,0,3.0,2006,,"98,5 m2, 3-sobno, zgrajeno l. 2006, 3. nad., na Jesenicah na cesti maršala Tita prodamo 3 sobno stanovanje v poslovno st...",Gros inženiring d.o.o.,109000.0
6439355,"JESENICE, V CENTRU JESENIC",2,73.05,0,3.0,1978,,"73,05 m2, 3-sobno, zgrajeno l. 1978, 1/12 nad., V centru Jesenic, na Tavčarjevi prodamo 3-sobno stanovanje, prodamo. Cen...",Zasebna ponudba,135000.0
6441165,KAMNJE,2,40.0,0,1.5,2005,2005,"40 m2, 1,5-sobno, adaptirano l. 2005, adaptirano l. 2012, prodamo. Cena: 120.000,00 EUR",Zasebna ponudba,120000.0
6439004,"KOKRICA, KRANJ, CESTA NA BELO",2,55.0,0,2.0,1963,2018,"55 m2, 2-sobno, zgrajeno l. 1963, adaptirano l. 2018, P/1 nad., Stanovanje - 2 sobno stanovanje - Kranj, prodamo. Cena: ...",Zasebna ponudba,165000.0
6438618,KOROŠKA BELA,2,71.6,0,3.0,1966,,"71,6 m2, 3-sobno, zgrajeno l. 1966, 1/5 nad., prodamo. Cena: 85.000,00 EUR",Exedra nepremičnine - Dragan Dušanić s.p.,85000.0
6407986,KOROŠKA BELA,2,112.0,0,3.0,1928,2009,"112 m2, 3-sobno, zgrajeno l. 1928, adaptirano l. 2009, 1/1 nad., Koroška Bela,  lepo urejeno in prostorno  trisobno stan...",Makler Bled d.o.o.,119000.0
6384529,"KOROŠKA BELA, CESTA TALCEV",2,64.0,0,3.0,1982,,"64 m2, 3-sobno, zgrajeno l. 1982, 5/5 nad., ugodno, lepa in sončna lokacija, parkirišča pred blokom, vpisano v Zk, brez ...",Nepremičnina posredovanje d.o.o.,95000.0
6440004,KRANJ,2,23.0,0,0,1985,,"23 m2, garsonjera, zgrajena l. 1985, 11/13 nad., prodamo. Cena: 103.000,00 EUR",Zasebna ponudba,103000.0
6436896,KRANJ,2,43.3,0,2.0,1950,,"43,3 m2, 2-sobno, zgrajeno l. 1950, P/2 nad., Stanovanje na planini. Pritlicje. Urejeno in svetlo stanovanje, prodamo. C...",Zasebna ponudba,139000.0
6410270,KRANJ,2,50.6,0,2.0,1964,2008,"50,6 m2, 2-sobno, zgrajeno l. 1964, adaptirano l. 2008, P/3 nad., Odlično stanovanje v Kranju v pritličju stavbe s funkc...","GHAUS, Andraž Erceg s.p.",130000.0
6441511,KRANJ,2,53.0,0,2.0,1983,2020,"53 m2, 2-sobno, zgrajeno l. 1983, adaptirano l. 2020, 5. nad., prodamo. Cena: 148.000,00 EUR",Koncepti d.o.o.,148000.0
6322991,KRANJ,2,55.1,0,2.0,1930,2019,"55,1 m2, 2-sobno, zgrajeno l. 1930, adaptirano l. 2019, P/3 nad., prodamo. Cena: cca 129.000,00 EUR",Nepremičnina posredovanje d.o.o.,129000.0
6390201,KRANJ,2,55.1,0,2.5,1930,2019,"55,1 m2, 2,5-sobno, zgrajeno l. 1930, adaptirano l. 2019, pritličje, prodamo. Cena: 129.000,00 EUR",Svet Real d.o.o.,129000.0
6428235,KRANJ,2,56.0,0,2.0,1980,,"56 m2, 2-sobno, zgrajeno l. 1980, 3/3 nad., prodamo. Cena: 179.000,00 EUR",Zasebna ponudba,179000.0
6426581,KRANJ,2,64.4,0,3.0,1943,2019,"64,4 m2, 3-sobno, zgrajeno l. 1943, adaptirano l. 2019, PK/2 nad., odlična lokacija, atrij, prostorno, dva vhoda, prodam...",MESTO NEPREMIČNIN d.o.o.,148700.0
6439315,KRANJ,2,68.4,0,3.0,2004,,"68,4 m2, 3-sobno, zgrajeno l. 2004, 1. nad., brez provizije za kupca, prodamo. Cena: 245.000,00 EUR",MEZANIN PRO nepremičnine d.o.o.,245000.0
6435824,KRANJ,2,74.0,0,2.0,1982,2012,"74 m2, 2-sobno, zgrajeno l. 1982, adaptirano l. 2012, 3/3 nad., Kranj, Planina 2, prodamo. Cena: cca 199.000,00 EUR",Zasebna ponudba,199000.0
6407353,KRANJ,2,85.13,0,3.0,1700,2011,"85,13 m2, 3-sobno, zgrajeno l. 1700, adaptirano l. 2011, 2/2 nad., prodamo. Cena: 112.000,00 EUR",Makler Bled d.o.o.,112000.0
6438270,KRANJ,2,92.2,0,4.0,1893,2021,"92,2 m2, 4-sobno, dupleks, zgrajeno l. 1893, adaptirano l. 2021, M/2 nad., Kranj - Mestno jedro, prodamo štirisobno stan...",Oaza nepremičnine d.o.o.,149000.0
6439225,KRANJ,2,92.2,0,4.0,1893,2021,"92,2 m2, 4-sobno, dupleks, zgrajeno l. 1893, adaptirano l. 2021, M/2 nad., Kranj - Mestno jedro, prodamo štirisobno stan...",Oaza nepremičnine d.o.o.,149000.0
6435081,KRANJ,2,97.1,0,3.0,1948,2020,"97,1 m2, 3-sobno, zgrajeno l. 1948, adaptirano l. 2020, 1/3 nad., prodamo. Cena: 238.000,00 EUR",ITD nepremičnine d.o.o.,238000.0
6438739,KRANJ,2,105.7,0,5,1987,,"105,7 m2, 5 in večsobno, v stavbi zgrajeni l. 1987, P/4 nad., prodamo. Cena: 362.000,00 EUR","RE/MAX Ljubljana, Nepremičninska družba d.o.o.",362000.0
6427435,KRANJ,2,141.6,0,4.0,2021,2021,"141,6 m2, 4-sobno, adaptirano l. 2021, 3/3 nad., V unikatni prenovljeni meščanski stavbi v strogem centru Kranja prodamo...",AC Asfalti d.o.o.,345960.0
6395034,KRANJ,2,146.5,220.0,3.0,1936,1992,"146,5 m2, 3-sobno, zgrajeno l. 1936, adaptirano l. 1992, 220 m2 zemljišča, M/1 nad., prodamo. Cena: 149.000,00 EUR",Agent 3091 d.o.o.,149000.0
6427395,KRANJ,2,227.7,0,4.5,2008,2015,"227,7 m2, 4,5-sobno, &quot;penthouse&quot;, zgrajeno l. 2008, adaptirano l. 2015, 4/4 nad., Center, izjemno lepo, svetlo...",Roni nepremičnine d.o.o.,450000.0
6377201,KRANJ,2,227.7,0,4.0,2008,,"227,7 m2, 4-sobno, zgrajeno l. 2008, 4/4 nad., Prostorno 4-sobno stanovanje v centru Kranja, prodamo. Cena: 450.000,00 E...","Nepremičninska družba, d.o.o., PE RE/MAX Obala",450000.0
6334455,KRANJ,2,299.0,0,5,1800,,"299 m2, 5 in večsobno, zgrajeno l. 1800, prodamo. Cena: 90.000,00 EUR",Eurogeld d.o.o.,90000.0
6441187,"KRANJ, CENTER",2,47.0,0,2.0,1900,2007,"47 m2, 2-sobno, zgrajeno l. 1900, adaptirano l. 2007, pritličje, prodamo. Cena: 118.000,00 EUR",ITD nepremičnine d.o.o.,118000.0
6438351,"KRANJ, CENTER",2,49.4,0,2.0,1959,2010,"49,4 m2, 2-sobno, zgrajeno l. 1959, adaptirano l. 2010, visoko pritličje, prodamo. Cena: 150.000,00 EUR",LJUBLJANA NEPREMIČNINE d.o.o.,150000.0
6440512,"KRANJ, CENTER MESTA",2,60.0,0,2.5,1800,2020,"60 m2, 2,5-sobno, zgrajeno l. 1800, adaptirano l. 2020, 1/2 nad., Kranj, Jenkova ulica, star del mesta-2,5 sobno stanova...",Fesst nepremičnine d.o.o.,155000.0
